"","word","freq"
"924","bent",116
"925","benz",36
"926","berea",99
"927","bergen",222
"928","berkeley",285
"929","berkman",25
"930","berlin",183
"931","bernanke",86
"932","bernard",192
"933","bernie",48
"934","berries",65
"935","berry",336
"936","berth",130
"937","beside",167
"938","besides",644
"939","best",17380
"940","bestfriend",220
"941","bestie",91
"942","bet",1647
"943","beta",227
"944","beth",219
"945","bets",80
"946","better",14006
"947","betting",162
"948","betty",250
"949","between",6806
"950","beverage",202
"951","beverages",97
"952","beverly",228
"953","beware",125
"954","beyonce",101
"955","beyond",1722
"956","bff",123
"957","bias",156
"958","bible",345
"959","bicycle",213
"960","bid",651
"961","bidding",150
"962","biden",209
"963","bids",154
"964","bieber",649
"965","big",13395
"966","bigger",1236
"967","biggest",2276
"968","biggie",34
"969","bike",1159
"970","bikes",226
"971","bikini",56
"972","bill",4776
"973","bill's",39
"974","billboard",144
"975","billed",80
"976","billing",98
"977","billion",3335
"978","billionaire",61
"979","billions",233
"980","bills",1187
"981","billy",438
"982","bin",542
"983","binding",38
"984","bing",163
"985","bingo",120
"986","bio",339
"987","biography",62
"988","biological",113
"989","biology",144
"990","bipartisan",189
"991","bird",807
"992","birdie",70
"993","birds",641
"994","birth",779
"995","birthday",5522
"996","birthdays",139
"997","bishop",247
"998","bistro",171
"999","bit",3948
"1000","bite",515
"1001","bites",171
"1002","bits",191
"1003","bitter",314
"1004","biz",501
"1005","bizarre",188
"1006","black",4726
"1007","blackberry",266
"1008","blackhawks",109
"1009","blade",115
"1010","blah",328
"1011","blair",119
"1012","blake",574
"1013","blame",967
"1014","blamed",235
"1015","blaming",129
"1016","blanc",128
"1017","blank",273
"1018","blanket",215
"1019","blast",870
"1020","blasted",104
"1021","blasting",171
"1022","blaze",150
"1023","blazer",101
"1024","blazers",1322
"1025","bleeding",164
"1026","blend",335
"1027","blended",86
"1028","bless",640
"1029","blessed",903
"1030","blessing",312
"1031","blessings",298
"1032","blew",356
"1033","blind",496
"1034","block",2186
"1035","blocked",477
"1036","blocking",266
"1037","blocks",581
"1038","blog",1924
"1039","blogger",161
"1040","bloggers",138
"1041","blogging",171
"1042","blogs",288
"1043","blonde",233
"1044","blood",1532
"1045","bloody",251
"1046","bloom",140
"1047","bloomberg",194
"1048","blowing",390
"1049","blown",361
"1050","blows",236
"1051","blue",2583
"1052","blueberry",139
"1053","blueprint",59
"1054","blues",1187
"1055","blunt",261
"1056","blvd",430
"1057","bmore",22
"1058","bmw",101
"1059","board",5187
"1060","board's",81
"1061","boarding",161
"1062","boards",485
"1063","boardwalk",84
"1064","boasts",137
"1065","boat",700
"1066","boats",169
"1067","bob",1294
"1068","bobby",472
"1069","bobcats",133
"1070","bodies",468
"1071","body",3172
"1072","boehner",191
"1073","boeing",91
"1074","boi",54
"1075","boil",171
"1076","boiled",43
"1077","boise",189
"1078","bold",295
"1079","bomb",642
"1080","bombing",58
"1081","bombs",189
"1082","bon",174
"1083","bond",788
"1084","bonds",514
"1085","bones",359
"1086","bonnie",133
"1087","bonus",396
"1088","bonuses",135
"1089","boo",878
"1090","book",5554
"1091","booked",443
"1092","booker",247
"1093","booking",269
"1094","books",2391
"1095","bookstore",168
"1096","boom",514
"1097","boomers",82
"1098","boost",582
"1099","boosted",99
"1100","boosting",80
"1101","boot",289
"1102","booth",749
"1103","booths",66
"1104","boots",349
"1105","border",685
"1106","borders",226
"1107","bored",1198
"1108","boring",816
"1109","born",1862
"1110","borough",153
"1111","borrow",300
"1112","borrowed",63
"1113","borrowing",192
"1114","bosh",188
"1115","boss",934
"1116","boston",1783
"1117","both",9115
"1118","bother",346
"1119","bothered",149
"1120","bottle",888
"1121","bottles",565
"1122","bottom",1305
"1123","bought",1973
"1124","boulder",243
"1125","boulevard",515
"1126","bounce",244
"1127","bouncing",110
"1128","bound",602
"1129","boundaries",190
"1130","bounty",186
"1131","bourbon",187
"1132","bout",2105
"1133","boutique",201
"1134","bow",251
"1135","bowl",2239
"1136","bowling",354
"1137","bowls",213
"1138","box",1763
"1139","boxer",92
"1140","boxes",394
"1141","boxing",251
"1142","boy",3100
"1143","boy's",95
"1144","boycott",101
"1145","boyd",151
"1146","boyfriend",1125
"1147","boyle",64
"1148","boys",2600
"1149","boyz",258
"1150","bracelet",55
"1151","braces",141
"1152","bracket",226
"1153","brackets",36
"1154","brad",416
"1155","bradford",65
"1156","bradley",267
"1157","brady",454
"1158","brain",1286
"1159","brains",164
"1160","branch",500
"1161","branches",217
"1162","brand",1447
"1163","branding",159
"1164","brandon",735
"1165","brands",389
"1166","brass",170
"1167","braun",242
"1168","brave",265
"1169","braves",218
"1170","bravo",161
"1171","brazil",264
"1172","brazilian",143
"1173","brb",18
"1174","breach",46
"1175","bread",843
"1176","break",3465
"1177","breakdown",135
"1178","breakfast",1695
"1179","breaking",1149
"1180","breaks",565
"1181","breakthrough",124
"1182","breath",553
"1183","breathe",350
"1184","breathing",289
"1185","breed",151
"1186","brees",48
"1187","breeze",158
"1188","brendan",114
"1189","brennan",107
"1190","brent",150
"1191","bret",17
"1192","brett",232
"1193","brew",266
"1194","brewer",354
"1195","brewers",809
"1196","brewery",255
"1197","brewing",304
"1198","brian",1219
"1199","bribery",111
"1200","bribes",24
"1201","brick",419
"1202","bricks",101
"1203","bride",170
"1204","bridge",1381
"1205","bridges",298
"1206","brief",508
"1207","briefly",306
"1208","bright",927
"1209","brilliant",600
"1210","bring",4675
"1211","bringing",1093
"1212","brings",998
"1213","bristol",59
"1214","britain",209
"1215","britain's",28
"1216","british",827
"1217","brittany",67
"1218","bro",2312
"1219","broad",529
"1220","broadcast",434
"1221","broadcasting",187
"1222","broader",208
"1223","broadway",611
"1224","broccoli",149
"1225","broke",1576
"1226","broken",1294
"1227","broker",159
"1228","broncos",785
"1229","bronx",185
"1230","bronze",161
"1231","brook",202
"1232","brooklyn",644
"1233","brooks",322
"1234","bros",247
"1235","broth",180
"1236","brotha",124
"1237","brother",2289
"1238","brother's",56
"1239","brotherhood",38
"1240","brothers",1004
"1241","brought",2159
"1242","brown",2913
"1243","brown's",227
"1244","brownie",39
"1245","brownies",120
"1246","browns",1039
"1247","browser",149
"1248","bruce",616
"1249","bruh",223
"1250","bruins",264
"1251","brunch",539
"1252","bruno",268
"1253","brunswick",289
"1254","brush",304
"1255","brutal",247
"1256","bryan",352
"1257","bryant",457
"1258","bryce",114
"1259","btw",869
"1260","bubba",64
"1261","bubble",286
"1262","bubbles",83
"1263","buchanan",65
"1264","buck",298
"1265","bucket",257
"1266","buckeye",120
"1267","buckeyes",323
